day,temp (F),forecast
This Afternoon,44,"A chance of rain showers before 5pm, then a chance of snow showers. Partly sunny. High near 44, with temperatures falling to around 38 in the afternoon. West wind around 12 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Tonight,19,"A chance of snow showers. Mostly cloudy, with a low around 19. West wind 8 to 14 mph. Chance of precipitation is 50%. New snow accumulation of less than one inch possible."
Sunday,33,"A slight chance of snow showers before 4pm. Mostly cloudy, with a high near 33. West wind 14 to 17 mph. Chance of precipitation is 20%."
Sunday Night,21,"Partly cloudy, with a low around 21. West wind 7 to 14 mph."
Monday,50,"Sunny, with a high near 50. Southwest wind 8 to 13 mph."
Monday Night,29,"Mostly clear, with a low around 29."
Tuesday,53,"Mostly sunny, with a high near 53."
Tuesday Night,31,"Mostly cloudy, with a low around 31."
Wednesday,53,"A chance of rain showers after 2pm. Mostly cloudy, with a high near 53. Chance of precipitation is 30%."
Wednesday Night,41,"A chance of rain showers. Mostly cloudy, with a low around 41. Chance of precipitation is 50%."
Thursday,57,"A chance of rain showers. Mostly cloudy, with a high near 57. Chance of precipitation is 50%."
Thursday Night,40,"Rain showers likely. Mostly cloudy, with a low around 40. Chance of precipitation is 60%."
Friday,54,"Rain showers likely. Mostly cloudy, with a high near 54. Chance of precipitation is 70%."
